objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4,ra,dec,neighbor_id,angular_sep,num_neighbors
1237679322322698359,8.149452E+18,1.151712,19.52999,19.65202,19.47488,19.62441,19.91583,16.26,15.221,12.618,9.101,,,,,,,True,8,-0.12203,0.05511,-0.09442,-0.38584,0.17714,0.02761,-0.26381,-0.14953,-0.44095,-0.29142,1.039,3.642,7.159,2.603,6.12,3.517,31.0278977009673,-5.13885024169224,[],[],0
1237679322322698420,8.149442E+18,0.5193586,20.99083,20.21292,20.06009,19.74498,19.52637,15.056,14.084,11.537,8.679,,,,,,,True,8,0.77791,0.93074,1.24585,1.46446,0.15283,0.46794,0.68655,0.31511,0.53372,0.21861,0.972,3.519,6.377,2.547,5.405,2.858,30.9053779406916,-5.23513393331004,[],[],0
1237679322322698425,8.149443E+18,2.129412,21.65448,21.41978,21.29623,21.35502,21.29651,17.019,15.981,12.464,8.996,,,,,,,True,8,0.2347,0.35825,0.29946,0.35797,0.12355,0.06476,0.12327,-0.05879,-0.00028,0.05851,1.038,4.555,8.023,3.517,6.985,3.468,30.9160342136973,-5.3129307116688,[],[],0
1237679322322698465,8.149445E+18,1.316977,21.53989,21.76472,21.29153,21.32593,21.5081,17.639,16.053,12.985,9.378,,,,,,,True,8,-0.22483,0.24836,0.21396,0.03179,0.47319,0.43879,0.25662,-0.0344,-0.21657,-0.18217,1.586,4.654,8.261,3.068,6.675,3.607,30.9881094410942,-5.27799718256469,[],[],0
1237679322322698473,8.149441E+18,1.392116,20.40668,20.59455,20.17774,20.05662,19.90732,16.868,15.949,12.419,8.967,,,,,,,True,8,-0.18787,0.22894,0.35006,0.49936,0.41681,0.53793,0.68723,0.12112,0.27042,0.1493,0.919,4.449,7.901,3.53,6.982,3.452,31.0026704632627,-5.20588163060532,[],[],0
1237679322322698481,8.149443E+18,1.284819,21.07426,21.02275,20.62434,20.59587,20.8568,,,,,,,,,,,True,8,0.05151,0.44992,0.47839,0.21746,0.39841,0.42688,0.16595,0.02847,-0.23246,-0.26093,,,,,,,31.0156938003023,-5.24205299262226,[],[],0
1237679322322698492,8.149455E+18,0.3264506,21.3793,20.70224,19.78745,19.42076,19.08505,15.846,15.133,12.598,9.385,,,,,,,True,8,0.67706,1.59185,1.95854,2.29425,0.91479,1.28148,1.61719,0.36669,0.7024,0.33571,0.713,3.248,6.461,2.535,5.748,3.213,31.0478055177185,-5.17575986287915,[],[],0
1237679322322763996,8.149466E+18,0.6783974,21.38547,21.2085,21.2123,20.78042,20.64971,17.19,16.164,12.812,9.518,,,,,,,True,8,0.17697,0.17317,0.60505,0.73576,-0.0038,0.42808,0.55879,0.43188,0.56259,0.13071,1.026,4.378,7.672,3.352,6.646,3.294,31.1787369810354,-5.2722648282168,[],[],0
1237679322322763997,8.149455E+18,1.32941,20.59282,21.01196,20.67345,20.86563,20.57847,17.418,16.23,12.426,9.44,,,,,,,True,8,-0.41914,-0.08063,-0.27281,0.01435,0.33851,0.14633,0.43349,-0.19218,0.09498,0.28716,1.188,4.992,7.978,3.804,6.79,2.986,31.1759750957652,-5.17814071603077,[],[],0
1237679322322764315,8.149455E+18,0.766999,21.68436,21.79745,21.53164,21.30932,20.58617,17.074,16.443,13.093,9.061,,,,,,,True,8,-0.11309,0.15272,0.37504,1.09819,0.26581,0.48813,1.21128,0.22232,0.94547,0.72315,0.631,3.981,8.013,3.35,7.382,4.032,31.1586118985699,-5.29972865093182,[],[],0
1237679322322764453,8.149454E+18,0.7731186,22.27714,21.43877,21.14313,20.46189,20.17494,15.89,16.07,12.356,9.241,-0.0998832553741715,,,,0.2208389381875482,-inf,True,8,0.83837,1.13401,1.81525,2.1022,0.29564,0.97688,1.26383,0.68124,0.96819,0.28695,-0.18,3.534,6.649,3.714,6.829,3.115,31.1929738931743,-5.17292710688873,[],[],0
